W0814 23:03:35.261399  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:03:35.261429  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:03:42.674686  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:03:42.674772  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:04:03.905786  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:04:03.906000  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:04:20.962974  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:04:20.963016  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:04:29.999721  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:04:29.999751  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:04:34.777572  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:04:34.777672  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:05:03.217257  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
